Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-10,RSI,MACD,Signal,Histogram
09:25AM_2020-10-23,351.705,351.705,351.705,351.705,167,,,,,,
09:27AM_2020-10-23,351.8,351.8,351.8,351.8,100,,,,,,
09:28AM_2020-10-23,351.81,351.985,351.81,351.985,311,,,,,,
09:31AM_2020-10-23,352.42,352.42,352.42,352.42,209,,,,,,
09:32AM_2020-10-23,352.65,352.65,352.65,352.65,110,,,,,,
09:36AM_2020-10-23,353.005,353.005,353.005,353.005,104,352.2608333333333,,,,,
09:39AM_2020-10-23,353.28,353.28,353.275,353.275,312,352.52250000000004,,,,,
09:40AM_2020-10-23,353.445,353.51,353.31,353.31,427,352.77416666666664,,,,,
09:42AM_2020-10-23,353.32,353.49,353.32,353.49,203,353.02500000000003,,,,,
09:43AM_2020-10-23,353.425,353.495,353.425,353.485,467,353.20250000000004,352.71250000000003,,,,
09:44AM_2020-10-23,353.475,353.49,353.475,353.48,403,353.34083333333336,352.89000000000004,,,,
09:45AM_2020-10-23,353.395,353.395,353.395,353.395,104,353.4058333333333,353.0495,,,,
09:46AM_2020-10-23,353.35,353.35,353.35,353.35,140,353.4183333333333,353.18600000000004,,,,
09:49AM_2020-10-23,353.45,353.45,353.21,353.21,306,353.40166666666664,353.265,,,,
09:51AM_2020-10-23,353.54,353.54,353.54,353.54,101,353.41,353.354,88.30897703548983,,,
09:53AM_2020-10-23,353.51,353.51,353.51,353.51,101,353.4141666666667,353.4045,87.13357629535545,,,
09:57AM_2020-10-23,353.26,353.26,353.26,353.26,126,353.3775,353.403,77.8360898489802,,,
09:58AM_2020-10-23,353.15,353.15,353.15,353.15,100,353.33666666666664,353.38700000000006,74.0900100213088,,,
10:02AM_2020-10-23,353.85,353.85,353.85,353.85,194,353.42,353.42300000000006,80.51626851651616,,,
10:05AM_2020-10-23,354.0,354.0,354.0,354.0,105,353.5516666666667,353.47450000000003,81.57106594967625,,,
10:07AM_2020-10-23,354.33,354.33,354.33,354.33,116,353.68333333333334,353.5595,83.66611325138447,,,
10:13AM_2020-10-23,354.15,354.15,354.15,354.15,316,353.78999999999996,353.63500000000005,78.42875607918263,,,
10:14AM_2020-10-23,353.88,353.88,353.88,353.88,100,353.89333333333326,353.68800000000005,71.22632550163182,,,
10:15AM_2020-10-23,354.12,354.12,354.12,354.12,164,354.0549999999999,353.77900000000005,73.55140851662796,,,
10:16AM_2020-10-23,353.87,353.87,353.87,353.87,102,354.0583333333332,353.812,67.43828585083578,,,
10:17AM_2020-10-23,354.02,354.11,353.64,354.11,1416,354.0766666666666,353.872,70.01481339060496,0.4829134067558698,,
10:18AM_2020-10-23,354.27,354.4,354.23,354.4,681,354.0883333333333,353.98600000000005,72.81407263567529,0.49474220107049405,,
10:19AM_2020-10-23,354.54,354.54,354.1,354.1,283,354.0799999999999,354.081,65.95461905188566,0.4744400632705492,,
10:20AM_2020-10-23,354.04,354.04,353.98,353.98,1037,354.0966666666666,354.09400000000005,63.382516092648935,0.4435544560111566,,
10:25AM_2020-10-23,354.95,354.95,354.95,354.95,106,354.2349999999999,354.189,72.66297663162774,0.49168049640888967,,
10:34AM_2020-10-23,355.78,355.78,355.64,355.64,212,354.5299999999999,354.32000000000005,77.10759510940252,0.5788256221175629,,
10:35AM_2020-10-23,355.61,355.84,355.61,355.84,201,354.8183333333332,354.48900000000003,78.21330260348627,0.6564598303266962,,
10:36AM_2020-10-23,355.87,355.87,355.87,355.87,111,355.0633333333332,354.688,78.38197375765361,0.712196491113616,,
10:37AM_2020-10-23,355.435,355.435,355.435,355.435,103,355.2858333333332,354.8195,69.92813349910745,0.7130477610621142,0.5608733697929943,0.1521743912691199
10:39AM_2020-10-23,355.51,355.615,355.51,355.615,254,355.55833333333317,354.994,71.30718029272343,0.7199477844000057,0.5926882527143966,0.1272595316856091
10:45AM_2020-10-23,355.14,355.14,355.14,355.14,116,355.58999999999986,355.09700000000004,63.085611029737244,0.6792575145434512,0.6100021050802076,0.0692554094632436
10:49AM_2020-10-23,355.25,355.25,355.25,355.25,105,355.52499999999986,355.182,64.11739593135322,0.6484117758860748,0.617684039241381,0.03072773664469375
10:50AM_2020-10-23,355.6,355.6,355.6,355.6,116,355.48499999999984,355.332,67.25368419403222,0.6447758065575044,0.6231023927046058,0.02167341385289867
10:51AM_2020-10-23,355.51,355.51,355.285,355.285,264,355.3874999999998,355.4625,62.00126072787526,0.6094510350715154,0.6203721211779878,-0.010921086106472355
10:55AM_2020-10-23,355.77,355.77,355.77,355.77,104,355.44333333333316,355.5445,66.35782021287935,0.6135190798038934,0.619001512903169,-0.005482433099275541
10:59AM_2020-10-23,355.81,355.82,355.51,355.6,977,355.4408333333331,355.5405,63.60512311932505,0.5961533703514306,0.6144318843928213,-0.018278514041390692
11:00AM_2020-10-23,355.48,355.48,355.48,355.48,100,355.4974999999998,355.5045,61.66069567963166,0.566181337357591,0.6047817749857752,-0.038600437628184214
11:05AM_2020-10-23,355.66,355.66,355.66,355.66,105,355.5658333333331,355.4835,63.46490066487064,0.5506057407116032,0.5939465681309408,-0.043340827419337646
11:11AM_2020-10-23,355.57,355.57,355.46,355.57,417,355.56083333333316,355.497,61.896480936820915,0.524948441450988,0.5801469427949503,-0.055198501343962314
11:18AM_2020-10-23,355.66,355.66,355.66,355.66,210,355.62333333333316,355.5015,62.88428588202336,0.5060437375692572,0.5653263017498117,-0.05928256418055444
