Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:40AM_2020-10-26,78.52,78.57,78.52,78.57,3367,,,,,,,,
10:45AM_2020-10-26,78.54,78.57,78.49,78.525,2127,,,,,,,,
10:50AM_2020-10-26,78.5,78.54,78.48,78.48,2484,,,,,,,,
10:55AM_2020-10-26,78.45,78.62,78.42,78.62,2030,,,,,,,,
11:00AM_2020-10-26,78.595,78.66,78.56,78.65,2938,,,,,,,,
11:05AM_2020-10-26,78.69,78.8,78.67,78.78,3036,78.60416666666667,,,,,,,
11:10AM_2020-10-26,78.78,78.78,78.7,78.75,3027,78.63416666666667,,,,,,,
11:15AM_2020-10-26,78.75,78.835,78.75,78.805,2345,78.68083333333334,,,,,,,
11:20AM_2020-10-26,78.76,78.78,78.675,78.71,2715,78.71916666666668,78.65444444444445,,,,,,
11:25AM_2020-10-26,78.68,78.84,78.635,78.82,1549,78.7525,78.68222222222224,78.671,,,,,
11:30AM_2020-10-26,78.785,78.85,78.78,78.85,1333,78.78583333333334,78.71833333333335,78.699,,,,,
11:35AM_2020-10-26,78.83,78.83,78.68,78.685,1744,78.77000000000002,78.74111111111112,78.715,,,,,
11:40AM_2020-10-26,78.65,78.78,78.65,78.76,2108,78.77166666666669,78.75666666666667,78.743,,,,,
11:45AM_2020-10-26,78.71,78.72,78.65,78.72,1400,78.75750000000002,78.76444444444445,78.753,,,,,
11:50AM_2020-10-26,78.73,78.84,78.73,78.78,501,78.76916666666669,78.76444444444445,78.76599999999999,,60.00000000000027,,,
11:55AM_2020-10-26,78.78,78.85,78.78,78.78,1388,78.76250000000003,78.76777777777778,78.76599999999999,,60.00000000000027,,,
12:00PM_2020-10-26,78.76,78.84,78.72,78.72,1977,78.74083333333336,78.75833333333334,78.763,,56.270810210876974,,,
12:05PM_2020-10-26,78.73,78.73,78.63,78.64,2147,78.73333333333336,78.75055555555555,78.7465,,51.660352710646926,,,
12:10PM_2020-10-26,78.62,78.655,78.57,78.61,1200,78.70833333333336,78.72722222222222,78.73649999999999,,50.005738864172024,,,
12:15PM_2020-10-26,78.61,78.71,78.57,78.57,3529,78.68333333333335,78.69611111111111,78.7115,78.69125,47.80709415887492,,,
12:20PM_2020-10-26,78.65,78.715,78.64,78.66,4737,78.66333333333336,78.69333333333333,78.6925,78.69575,52.832229425333054,,,
12:25PM_2020-10-26,78.675,78.76,78.675,78.715,1909,78.65250000000003,78.68833333333333,78.6955,78.70525,55.64286555868318,,,
12:30PM_2020-10-26,78.75,78.915,78.73,78.86,3248,78.67583333333336,78.7038888888889,78.7055,78.72425,62.06133296189472,,,
12:35PM_2020-10-26,78.87,78.89,78.79,78.86,2463,78.71250000000003,78.71277777777779,78.7195,78.73625,62.06133296189472,,,
12:40PM_2020-10-26,78.85,78.9,78.83,78.85,3191,78.75250000000004,78.72055555555556,78.7265,78.74624999999999,61.35127659451263,,,
12:45PM_2020-10-26,78.86,78.86,78.55,78.55,2922,78.7491666666667,78.70166666666667,78.70349999999999,78.73474999999999,44.79376041826997,0.013998495330710625,,
12:50PM_2020-10-26,78.56,78.65,78.53,78.59,7202,78.73750000000003,78.69611111111112,78.6905,78.72674999999998,46.8533053161567,0.002701773059797574,,
12:55PM_2020-10-26,78.63,78.83,78.63,78.81,19201,78.75333333333334,78.71833333333333,78.7075,78.72699999999998,56.471692436948864,0.01137013284116506,,
06:30AM_2020-10-27,78.98,79.24,78.98,79.07,5128,78.78833333333336,78.7738888888889,78.7535,78.74499999999998,64.62078934357632,0.038772749389650585,,
06:35AM_2020-10-27,79.05,79.255,79.05,79.16,5379,78.83833333333335,78.82944444444446,78.8125,78.76199999999997,66.92881832917672,0.06697966834482827,,
06:40AM_2020-10-27,79.03,79.25,79.02,79.25,23954,78.90500000000002,78.8888888888889,78.8715,78.78199999999998,69.09972030229159,0.0954952923884207,,
06:45AM_2020-10-27,79.33,79.38,79.09,79.12,27712,79.00000000000001,78.91777777777779,78.912,78.80375,62.69755836600925,0.1063779574665773,,
06:50AM_2020-10-27,79.18,79.18,78.65,78.82,5531,79.03833333333334,78.91333333333336,78.908,78.80675,50.962973924805276,0.08976035366779911,,
06:55AM_2020-10-27,78.81,79.19,78.81,79.115,59144,79.08916666666667,78.94277777777779,78.93350000000001,78.82649999999998,59.074405788884484,0.09925071703149513,0.05830079328004937,0.04094992375144576
07:00AM_2020-10-27,79.14,79.23,78.8,79.04,22873,79.08416666666668,78.99722222222223,78.9525,78.83949999999999,56.51487643966435,0.09957221861807852,0.0665550783476552,0.03301714027042332
07:05AM_2020-10-27,79.1,79.31,79.06,79.3,5101,79.10750000000002,79.07611111111112,79.0275,78.86549999999998,62.56945202155488,0.11943012192816127,0.07713008706375642,0.042300034864404853
07:10AM_2020-10-27,79.34,79.465,79.33,79.4,7093,79.13250000000001,79.14166666666668,79.10849999999999,78.89949999999999,64.61039133929674,0.14160448922891078,0.09002496749678729,0.05157952173212349
07:15AM_2020-10-27,79.38,79.38,79.13,79.155,4145,79.13833333333334,79.15111111111112,79.14299999999999,78.92524999999998,56.48428812112185,0.1378196831058176,0.09958391061859335,0.03823577248722425
07:20AM_2020-10-27,79.08,79.145,78.915,78.955,10844,79.16083333333334,79.12833333333336,79.13149999999999,78.94249999999998,50.86073048021588,0.1173293685295107,0.10313300220077683,0.014196366328733875
07:25AM_2020-10-27,78.955,79.06,78.885,78.97,3891,79.13666666666667,79.09722222222224,79.11249999999998,78.96249999999999,51.25272480839455,0.10113519763891077,0.10273344128840362,-0.0015982436494928476
07:30AM_2020-10-27,78.96,79.015,78.66,78.715,2933,79.08250000000001,79.05222222222226,79.059,78.96524999999998,44.721415743337865,0.06695303870596092,0.09557736077191509,-0.028624322065954166
07:35AM_2020-10-27,78.69,78.7,78.62,78.68,1332,78.97916666666667,79.0366666666667,79.015,78.96349999999998,43.89460339769469,0.03661712457095234,0.08378531353172254,-0.0471681889607702
07:40AM_2020-10-27,78.71,78.785,78.7,78.74,4144,78.86916666666667,78.99500000000005,79.00699999999999,78.9575,45.74637763921215,0.017218706093999003,0.07047199204417784,-0.053253285950178836
07:45AM_2020-10-27,78.75,78.98,78.69,78.965,2661,78.83750000000002,78.98666666666672,78.99199999999999,78.96275,52.12734945847711,0.019773008357432786,0.06033219530682883,-0.040559186949396045
07:50AM_2020-10-27,79.01,79.16,78.7,78.74,15965,78.80166666666669,78.9244444444445,78.962,78.95725,46.267112629961844,0.0036001909472105353,0.048985794434905174,-0.04538560348769464
07:55AM_2020-10-27,78.73,78.87,78.73,78.76,501,78.7666666666667,78.8533333333334,78.908,78.96775,46.83921411903064,-0.007516406065889214,0.0376853543347463,-0.04520176040063551
08:00AM_2020-10-27,78.62,78.7,78.62,78.7,1440,78.7641666666667,78.80277777777785,78.83800000000001,78.97325000000001,45.28159748011029,-0.020926658357481642,0.02596295179630071,-0.04688961015378235
08:05AM_2020-10-27,78.705,78.72,78.65,78.71,1451,78.76916666666669,78.77555555555563,78.79350000000002,78.96825000000001,45.60626087460526,-0.03039706504338824,0.014690948428362924,-0.04508801347175116
08:10AM_2020-10-27,78.66,78.78,78.635,78.72,2193,78.76583333333336,78.74777777777784,78.77000000000001,78.95075000000001,45.95161711121627,-0.03667277324409213,0.004418204093871914,-0.04109097733796404
08:15AM_2020-10-27,78.79,78.87,78.695,78.71,2046,78.72333333333336,78.74722222222229,78.74400000000001,78.92825000000002,45.63955255112384,-0.04196943609942139,-0.0048593239447867476,-0.03711011215463464
08:20AM_2020-10-27,78.73,78.75,78.65,78.75,3277,78.72500000000002,78.75500000000005,78.74750000000002,78.90325000000001,47.184624463816206,-0.0424500758168449,-0.012377474319198379,-0.030072601497646522
08:25AM_2020-10-27,78.7,78.72,78.67,78.71,1994,78.7166666666667,78.75166666666672,78.75050000000002,78.88275000000002,45.78324130405835,-0.0455337670391458,-0.019008732863187862,-0.02652503417595794
08:30AM_2020-10-27,78.71,78.71,78.465,78.465,3216,78.67750000000004,78.69611111111118,78.72300000000001,78.86500000000001,38.28331920609286,-0.0669750206515971,-0.028601990420869715,-0.03837303023072739
