Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:45AM_2020-10-23,426.6,426.6,426.6,426.6,100,,,,,,,,
11:00AM_2020-10-23,427.31,427.31,427.31,427.31,100,,,,,,,,
11:05AM_2020-10-23,427.44,427.44,427.32,427.32,246,,,,,,,,
11:10AM_2020-10-23,427.34,427.34,427.34,427.34,100,,,,,,,,
11:25AM_2020-10-23,428.39,428.39,428.39,428.39,101,,,,,,,,
11:30AM_2020-10-23,428.435,428.625,428.35,428.625,324,427.5975,,,,,,,
11:35AM_2020-10-23,428.39,428.39,428.39,428.39,100,427.8958333333333,,,,,,,
11:40AM_2020-10-23,428.55,428.625,428.55,428.625,301,428.115,,,,,,,
12:00PM_2020-10-23,428.26,428.26,428.26,428.26,149,428.2716666666666,427.8733333333333,,,,,,
12:20PM_2020-10-23,428.73,428.73,428.73,428.73,100,428.5033333333333,428.11,427.959,,,,,
12:35PM_2020-10-23,428.9,428.94,428.9,428.94,201,428.59499999999997,428.29111111111115,428.1929999999999,,,,,
12:45PM_2020-10-23,429.58,429.58,429.58,429.58,136,428.7541666666666,428.5422222222223,428.4199999999999,,,,,
12:50PM_2020-10-23,429.11,429.11,429.11,429.11,100,428.87416666666667,428.73888888888894,428.5989999999999,,,,,
12:55PM_2020-10-23,429.05,429.385,429.05,429.18,1522,428.96666666666664,428.82666666666677,428.7829999999999,,,,,
06:40AM_2020-10-26,431.82,431.82,431.82,431.82,157,429.55999999999995,429.1816666666668,429.12599999999986,,85.46195652173914,,,
06:45AM_2020-10-26,432.285,432.285,432.285,432.285,110,430.1524999999999,429.6144444444446,429.49199999999985,,86.38810059692736,,,
06:50AM_2020-10-26,432.8,432.8,432.61,432.61,240,430.7641666666666,430.0572222222224,429.91399999999976,,87.01092538985904,,,
06:55AM_2020-10-26,432.57,432.96,432.57,432.96,300,431.32749999999993,430.57944444444456,430.34749999999974,,87.66546983227002,,,
07:05AM_2020-10-26,433.8,433.8,432.96,432.96,555,431.9691666666666,431.0494444444446,430.81749999999977,,87.66546983227002,,,
07:10AM_2020-10-26,433.495,433.495,433.495,433.495,100,432.6883333333333,431.5555555555557,431.2939999999997,429.62649999999996,88.67699722125744,,,
07:15AM_2020-10-26,433.17,433.17,433.17,433.17,177,432.91333333333324,431.95444444444456,431.71699999999976,429.9549999999999,84.16172512723065,,,
07:20AM_2020-10-26,432.97,432.97,432.97,432.97,300,433.0275,432.38333333333344,432.05599999999976,430.23799999999994,81.41442794027235,,,
07:40AM_2020-10-26,431.81,431.81,431.81,431.81,175,432.89416666666665,432.6755555555557,432.32599999999985,430.4624999999999,67.62593048839378,,,
07:50AM_2020-10-26,430.87,430.87,430.87,430.87,109,432.5458333333333,432.57000000000016,432.4949999999998,430.63899999999995,58.917944836968985,,,
07:55AM_2020-10-26,430.25,430.25,429.48,429.48,223,431.96583333333325,432.2583333333335,432.26099999999985,430.6935,48.892218900679985,,,
08:00AM_2020-10-26,428.29,428.29,428.21,428.21,212,431.085,431.7694444444446,431.8534999999999,430.6727499999999,41.880096105738076,0.854045229022006,,
08:05AM_2020-10-26,428.08,428.08,428.08,428.08,101,430.2366666666666,431.22722222222245,431.4004999999999,430.6572499999999,41.22827378028493,0.5724366928016593,,
08:10AM_2020-10-26,429.3,429.3,429.3,429.3,102,429.625,430.82055555555576,431.0344999999999,430.6909999999999,49.21642049112098,0.4426016665001953,,
08:15AM_2020-10-26,428.29,428.29,427.775,427.775,304,428.95250000000004,430.1850000000002,430.5159999999999,430.66674999999987,41.6042281779054,0.2141827522583526,,
08:20AM_2020-10-26,427.64,427.64,427.64,427.64,175,428.4141666666667,429.57055555555576,429.93049999999994,430.61224999999985,40.99968289978906,0.022012004607177005,,
08:25AM_2020-10-26,427.535,427.535,427.535,427.535,101,428.09,428.96666666666687,429.3669999999999,430.5419999999998,40.50667018304568,-0.13717603990130556,,
08:35AM_2020-10-26,427.17,427.17,427.17,427.17,100,427.9166666666667,428.4511111111113,428.7869999999999,430.4214999999998,38.76177428840185,-0.28944956719544734,,
08:50AM_2020-10-26,429.595,429.595,429.595,429.595,102,428.16916666666674,428.30944444444464,428.5654999999999,430.44574999999975,53.18929536477077,-0.2120063242812762,,
09:05AM_2020-10-26,429.58,429.58,429.58,429.58,102,428.21583333333336,428.32055555555576,428.4364999999999,430.46574999999973,53.10595094878176,-0.15011197357318906,0.146281604470908,-0.29639357804409705
09:15AM_2020-10-26,429.2,429.2,429.2,429.2,100,428.4533333333333,428.43055555555577,428.4084999999999,430.3347499999998,50.928779837326736,-0.13022196121130492,0.09098089133446541,-0.22120285254577032
09:55AM_2020-10-26,427.975,427.975,427.88,427.88,224,428.49333333333334,428.40833333333353,428.37549999999993,430.1144999999998,44.15671445198633,-0.21845375253798238,0.029093962559975844,-0.24754771509795823
10:15AM_2020-10-26,428.2,428.37,427.89,427.89,1252,428.5525,428.2516666666669,428.3565,429.8784999999997,44.217230240676834,-0.284294002123886,-0.03358363037679653,-0.2507103717470895
10:20AM_2020-10-26,428.305,428.305,428.305,428.305,288,428.7416666666666,428.3105555555558,428.25699999999995,429.6457499999998,46.79408777935941,-0.29953301245905095,-0.08677350679324741,-0.21275950566580354
10:25AM_2020-10-26,428.1,428.17,428.1,428.12,416,428.4958333333332,428.3638888888892,428.2915,429.40374999999983,45.77885970074717,-0.32281676115513847,-0.13398215766562563,-0.18883460348951284
