Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-10,RSI,MACD,Signal,Histogram
11:14AM_2020-10-23,101.22,101.22,101.215,101.215,313,,,,,,
11:16AM_2020-10-23,101.22,101.24,101.22,101.24,810,,,,,,
11:17AM_2020-10-23,101.28,101.28,101.28,101.28,204,,,,,,
11:18AM_2020-10-23,101.295,101.31,101.26,101.26,500,,,,,,
11:19AM_2020-10-23,101.235,101.235,101.235,101.235,107,,,,,,
11:22AM_2020-10-23,101.28,101.28,101.255,101.255,414,101.2475,,,,,
11:23AM_2020-10-23,101.27,101.29,101.27,101.28,301,101.25833333333333,,,,,
11:24AM_2020-10-23,101.28,101.28,101.28,101.28,173,101.26499999999999,,,,,
11:25AM_2020-10-23,101.265,101.315,101.265,101.315,328,101.27083333333333,,,,,
11:27AM_2020-10-23,101.32,101.32,101.3,101.3,310,101.27749999999999,101.26599999999999,,,,
11:28AM_2020-10-23,101.3,101.3,101.265,101.265,360,101.28249999999998,101.27099999999999,,,,
11:29AM_2020-10-23,101.26,101.28,101.26,101.28,200,101.28666666666665,101.275,,,,
11:30AM_2020-10-23,101.3,101.3,101.28,101.29,901,101.28833333333331,101.276,,,,
11:31AM_2020-10-23,101.28,101.28,101.27,101.27,314,101.28666666666665,101.277,,,,
11:32AM_2020-10-23,101.28,101.28,101.28,101.28,219,101.28083333333332,101.2815,61.01694915254139,,,
11:33AM_2020-10-23,101.275,101.29,101.27,101.28,1686,101.27749999999999,101.284,61.01694915254139,,,
11:34AM_2020-10-23,101.3,101.3,101.28,101.28,503,101.27999999999999,101.28400000000002,61.01694915254139,,,
11:35AM_2020-10-23,101.285,101.29,101.225,101.235,1004,101.2725,101.27950000000001,51.25227612931585,,,
11:36AM_2020-10-23,101.22,101.22,101.2,101.2,931,101.25750000000001,101.268,45.19425650060084,,,
11:37AM_2020-10-23,101.205,101.205,101.185,101.185,300,101.24333333333334,101.2565,42.8562812962511,,,
11:38AM_2020-10-23,101.19,101.195,101.19,101.195,343,101.22916666666667,101.2495,44.90263593898838,,,
11:39AM_2020-10-23,101.19,101.2,101.185,101.2,430,101.21583333333335,101.2415,45.94496122326289,,,
11:40AM_2020-10-23,101.2,101.2,101.2,101.2,404,101.20250000000003,101.2325,45.94496122326289,,,
11:41AM_2020-10-23,101.215,101.215,101.16,101.17,424,101.19166666666668,101.22250000000001,40.60027685480959,,,
11:42AM_2020-10-23,101.145,101.145,101.135,101.135,861,101.18083333333334,101.20800000000001,35.4230041993158,,,
11:43AM_2020-10-23,101.14,101.15,101.14,101.15,1410,101.175,101.19500000000002,39.01240103886017,-0.044059551753022674,,
11:44AM_2020-10-23,101.15,101.15,101.12,101.12,604,101.16249999999998,101.17900000000002,34.84128319854257,-0.04696119424028211,,
11:45AM_2020-10-23,101.1,101.1,101.1,101.1,112,101.14583333333331,101.16550000000001,32.35747621196718,-0.050294832152076197,,
11:46AM_2020-10-23,101.11,101.11,101.095,101.095,448,101.12833333333332,101.155,31.748126656015316,-0.052732356645336154,,
11:47AM_2020-10-23,101.115,101.13,101.115,101.12,1053,101.11999999999999,101.14850000000001,38.031824003690666,-0.05204685752585192,,
11:48AM_2020-10-23,101.14,101.16,101.14,101.16,743,101.12416666666665,101.14500000000002,46.516329808203636,-0.047725775793779235,,
11:50AM_2020-10-23,101.18,101.19,101.155,101.19,563,101.13083333333333,101.14400000000003,51.84197746657468,-0.04140326702028574,,
11:51AM_2020-10-23,101.17,101.17,101.17,101.17,207,101.13916666666665,101.14100000000003,48.383076462638456,-0.037573343998076325,,
11:52AM_2020-10-23,101.165,101.165,101.13,101.13,1554,101.14416666666665,101.13700000000004,42.30381543592006,-0.03733538899209066,-0.04557028534675567,0.008234896354665011
11:53AM_2020-10-23,101.115,101.115,101.115,101.115,107,101.14749999999998,101.13500000000003,40.26087156472341,-0.0379200636855046,-0.04404024101450546,0.006120177329000859
11:54AM_2020-10-23,101.115,101.115,101.095,101.1,316,101.14416666666665,101.13000000000002,38.27053678031579,-0.039142585867693924,-0.04306070998514316,0.003918124117449233
11:55AM_2020-10-23,101.095,101.095,101.095,101.095,278,101.13333333333333,101.12750000000003,37.603220937037776,-0.04005319343643521,-0.04245920667540157,0.002406013238966359
11:56AM_2020-10-23,101.1,101.1,101.1,101.1,711,101.11833333333334,101.12750000000003,38.75331705717041,-0.0399113253671004,-0.041949630413741335,0.0020383050466409314
11:57AM_2020-10-23,101.13,101.13,101.13,101.13,264,101.11166666666668,101.13100000000001,45.271431601571024,-0.036952182858442484,-0.040950140902681564,0.0039979580442390805
11:58AM_2020-10-23,101.13,101.13,101.115,101.115,334,101.10916666666668,101.13050000000001,42.81775139574888,-0.03540924006266266,-0.03984196073467779,0.004432720672015125
11:59AM_2020-10-23,101.105,101.105,101.055,101.055,295,101.09916666666668,101.12000000000002,34.71313833867197,-0.03858318242993164,-0.039590205073728554,0.0010070226437969149
12:00PM_2020-10-23,101.15,101.15,101.15,101.15,150,101.1075,101.11600000000001,50.64306148623737,-0.033051847447822524,-0.03828253354854735,0.005230686100724823
12:01PM_2020-10-23,101.15,101.15,101.145,101.145,308,101.11583333333333,101.11350000000002,49.952227288497184,-0.028740381607747167,-0.03637410316038731,0.007633721552640145
12:02PM_2020-10-23,101.12,101.12,101.12,101.12,239,101.11916666666666,101.11250000000001,46.534161213706,-0.027029228808714834,-0.03450512829005282,0.0074758994813379845
