Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,550021109,LULU ,"1,454,655","473,490,202.50",0.341,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,256163106,DOCU ,"2,164,951","472,219,112.12",0.341,DocuSign Inc,Common Stock,Information Technology,10/21/2020
QQQ,98138H101,WDAY ,"2,071,149","464,579,432.19",0.335,Workday Inc,Common Stock,Information Technology,10/21/2020
QQQ,192446102,CTSH ,"6,344,924","462,481,510.36",0.333,Cognizant Technology Solutions Corp,Common Stock,Information Technology,10/21/2020
QQQ,500754106,KHC ,"14,305,716","449,771,711.04",0.324,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/21/2020
QQQ,N6596X109,NXPI ,"3,267,258","443,889,671.88",0.320,NXP Semiconductors NV,Common Stock,Information Technology,10/21/2020
QQQ,056752108,BIDU ,"3,290,312","443,665,670.08",0.320,Baidu Inc ADR,American Depository Receipt,Communication Services,10/21/2020
QQQ,98389B100,XEL ,"6,147,163","439,706,569.39",0.317,Xcel Energy Inc,Common Stock,Utilities,10/21/2020
QQQ,252131107,DXCM ,"1,120,284","434,490,946.56",0.313,DexCom Inc,Common Stock,Health Care,10/21/2020
QQQ,278642103,EBAY ,"8,189,519","432,570,393.58",0.312,eBay Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,285512109,EA ,"3,379,319","431,370,070.35",0.311,Electronic Arts Inc,Common Stock,Communication Services,10/21/2020
QQQ,45168D104,IDXX ,"995,246","417,734,603.58",0.301,IDEXX Laboratories Inc,Common Stock,Health Care,10/21/2020
QQQ,172908105,CTAS ,"1,211,081","410,181,023.89",0.296,Cintas Corp,Common Stock,Industrials,10/21/2020
QQQ,871607107,SNPS ,"1,775,801","403,905,937.45",0.291,Synopsys Inc,Common Stock,Information Technology,10/21/2020
QQQ,67103H107,ORLY ,"866,632","403,850,512.00",0.291,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,81181C104,SGEN ,"2,035,943","402,526,290.53",0.290,Seagen Inc,Common Stock,Health Care,10/21/2020
QQQ,848637104,SPLK ,"1,858,655","393,421,503.85",0.284,Splunk Inc,Common Stock,Information Technology,10/21/2020
QQQ,778296103,ROST ,"4,164,711","383,861,412.87",0.277,Ross Stores Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,931427108,WBA ,"10,139,552","379,117,849.28",0.273,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/21/2020
QQQ,482480100,KLAC ,"1,819,139","375,288,375.70",0.271,KLA Corp,Common Stock,Information Technology,10/21/2020
QQQ,64110W102,NTES ,"4,196,500","370,299,160.00",0.267,NetEase Inc ADR,American Depository Receipt,Communication Services,10/21/2020
QQQ,693718108,PCAR ,"4,050,388","368,220,773.08",0.266,PACCAR Inc,Common Stock,Industrials,10/21/2020
QQQ,127387108,CDNS ,"3,262,274","362,862,737.02",0.262,Cadence Design Systems Inc,Common Stock,Information Technology,10/21/2020
QQQ,571903202,MAR ,"3,794,885","361,083,307.75",0.260,Marriott International Inc/MD,Common Stock,Consumer Discretionary,10/21/2020
QQQ,92345Y106,VRSK ,"1,900,091","359,459,215.38",0.259,Verisk Analytics Inc,Common Stock,Industrials,10/21/2020
QQQ,704326107,PAYX ,"4,198,080","346,845,369.60",0.250,Paychex Inc,Common Stock,Information Technology,10/21/2020
QQQ,N07059210,ASML ,"893,179","342,087,557.00",0.247,ASML Holding NV,American Depository Receipt - NY,Information Technology,10/21/2020
QQQ,03662Q105,ANSS ,"1,003,829","329,115,375.94",0.237,ANSYS Inc,Common Stock,Information Technology,10/21/2020
QQQ,595017104,MCHP ,"2,953,972","326,354,826.56",0.235,Microchip Technology Inc,Common Stock,Information Technology,10/21/2020
QQQ,983919101,XLNX ,"2,858,779","318,182,102.70",0.229,Xilinx Inc,Common Stock,Information Technology,10/21/2020
QQQ,60770K107,MRNA ,"4,617,181","315,676,664.97",0.228,Moderna Inc,Common Stock,Health Care,10/21/2020
QQQ,217204106,CPRT ,"2,747,174","314,826,140.40",0.227,Copart Inc,Common Stock,Industrials,10/21/2020
QQQ,016255101,ALGN ,"921,954","309,601,372.74",0.223,Align Technology Inc,Common Stock,Health Care,10/21/2020
QQQ,722304102,PDD ,"3,376,109","304,626,315.07",0.220,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,10/21/2020
QQQ,015351109,ALXN ,"2,564,581","303,107,828.39",0.219,Alexion Pharmaceuticals Inc,Common Stock,Health Care,10/21/2020
QQQ,82968B103,SIRI ,"50,786,884","297,611,140.24",0.215,Sirius XM Holdings Inc,Common Stock,Communication Services,10/21/2020
QQQ,311900104,FAST ,"6,712,137","294,931,299.78",0.213,Fastenal Co,Common Stock,Industrials,10/21/2020
